True Evidence,Generated Evidence,Hops,Label,Topics,bartscore
"[Additi Gupta] She is also known for her negative roles in Pardes Mein Hai Mera Dil and Star Plus's Ishqbaaz. [Ishqbaaaz] Ishqbaaaz (English: ""Lovers"") is an Indian drama television series which is broadcast on Star Plus. [Nitin Sahrawat] He is presently playing the character of Superstar Anand Kumar opposite Additi Gupta in ZEE TV's Qubool Hai.",[Nitin Sahrawat] Nitin Sahrawat is an Indian actor known for his roles in the Indian television industry. [Qubool Hai] Qubool Hai is an Indian television drama series that broadcasts on the Star Plus network. [Qubool Hai] The series premiered on 15 October 2012 and starred Nitin Sahrawat and Karan Singh Grover in pivotal roles.,3,SUPPORTS,"Nitin Sahrawat, Additi Gupta, Ishqbaaaz",-3.2890942096710205
"[2009 America East Conference Baseball Tournament] In the championship game, first-seeded Binghamton defeated second-seeded Albany, 16-6, to win its first tournament championship. [Albany Great Danes baseball] The Albany Great Danes baseball team is a varsity intercollegiate athletic team of the University at Albany in Albany, New York, United States. [Jon Mueller (baseball)] Jon Mueller (born January 26, 1970) is an American college baseball coach who has been the head coach of Albany since the start of the 2000 season.","Jon Mueller is the current head baseball coach of the Albany Great Danes. [Jon Mueller] He has been the head coach of the Great Danes since 2003, and has led the team to two America East Conference championships in 2003 and 2009. [Albany Great Danes baseball] The Albany Great Danes baseball team is a member of the America East Conference and has played in the championship game in 2009.",3,SUPPORTS,"Albany Great Danes baseball, 2009 America East Conference Baseball Tournament, Jon Mueller (baseball)",-2.9016969203948975
"[Amélie Mauresmo] Amélie Simone Mauresmo ] (born 5 July 1979) is a French former professional tennis player, and a former world No. 1. [Pam Shriver] Pamela Howard Shriver (born July 4, 1962) is an American former professional tennis player known primarily as a doubles specialist with success also as a singles player. [Loïc Courteau] Courteau has coached the French Fed Cup team in years past, and has been the coach of Amélie Mauresmo, the winner of two Grand Slams, since 2002.","1960s Pam Shriver was born in 1954 and Loic Courteau was born in 1949. [Pam Shriver] Pam Shriver is an American former professional tennis player. [Pam Shriver] She was born on February 4, 1954, in Baltimore, Maryland, USA. [Loic Courteau] Loic Courteau is a French former professional tennis player. [Loic Courteau] He was born on September 26, 1949, in Paris, France.",3,SUPPORTS,"Pam Shriver, Amélie Mauresmo, Loïc Courteau",-2.9888834953308105
"[Robert Fleischman] Robert Fleischman (born March 11, 1953) is an American musician, songwriter, and record producer. [Jimmy Barnes] James Dixon Swan {'1': "", '2': "", '3': "", '4': ""} (born 28 April 1956), better known as Jimmy Barnes, is a Scottish-Australian rock singer-songwriter. [Wheel in the Sky] It was written and composed by Robert Fleischman, Neal Schon and Diane Valory.","🎶 [Wheel in the Sky] Wheel in the Sky is a song by the American rock band Journey, written by Jonathan Cain and Steve Perry. [Jonathan Cain] Jonathan Lee Cain (born March 29, 1950) is an American musician, singer, and songwriter, best known as the keyboardist and songwriter for the rock band Journey. [Steve Perry] Stephen Ray Perry (born January 2, 1949) is an American singer, songwriter, and musician, best known as the lead vocalist for the rock band Journey.",3,SUPPORTS,"Wheel in the Sky, Jimmy Barnes, Robert Fleischman",-5.247967720031738
"[Julian Marley] He follows into his father’s footsteps and is a devout Rastafarian who uses his music to inspire his life and spirituality. [Rastafari] Classified as a new religious movement, it developed in Jamaica during the 1930s. [A Time &amp; Place] A Time & Place is the second studio album by reggae artist Julian Marley, released in 2003 on Lightyear Entertainment.","[Bob Marley] Bob Marley was a Rastafari and a believer in the religion. [A Time & Place] A Time & Place is the second studio album by the Jamaican reggae artist, Chronixx, released on August 20, 2012, through Zojak Worldwide and VP Records.",3,SUPPORTS,"A Time &amp; Place, Julian Marley, Rastafari",-4.506044864654541
"[Takahiro Moriuchi] Takahiro Moriuchi (森内 貴寛 , Moriuchi Takahiro , born April 17, 1988 in Tokyo) , known professionally as Taka, is the lead vocalist of the Japanese rock band ONE OK ROCK. [Doug Pinnick] Douglas Theodore ""Doug"" Pinnick (born September 3, 1950), sometimes stylized as dUg Pinnick or simply dUg, is an American musician best known as the bass guitarist, songwriter, and co-lead vocalist for the hard rock/progressive metal band King's X. [One Ok Rock] The band currently consists of Takahiro Moriuchi (vocals), Toru Yamashita (guitar/leader), Ryota Kohama (bass), and Tomoya Kanki (drums).","[TakuRock] TakuRock is a Japanese rock band formed in 2005, known for their energetic live performances and catchy hooks. [Doug Pinnick] Doug Pinnick is an American musician, best known as the lead vocalist and bassist of the progressive metal band King's X. [King's X] King's X is an American heavy metal band from Houston, Texas, formed in 1987.",3,SUPPORTS,"Doug Pinnick, One Ok Rock, Takahiro Moriuchi",-3.260500907897949
"[Marilyn Manson] Brian Hugh Warner (born January 5, 1969), known professionally as Marilyn Manson, is an American singer, songwriter, musician, composer, actor, painter, author and former music journalist. [Joe Lynn Turner] Joe Lynn Turner (born Joseph Arthur Mark Linquito, August 2, 1951) is an American singer, guitarist, songwriter, and producer. [Godhead (band)] They are most often credited with being the only band signed to musician Marilyn Manson's short-lived vanity label, Posthuman Records.","Godhead is a Christian heavy metal band from the United States, formed in 1986. [Godhead] The band has released several albums, including their 1987 debut, ""Based on a True Story,"" and their 1990 album, ""Savior."" [Joe Lynn Turner] Joe Lynn Turner is a singer, songwriter, and musician, best known for his work with the band Deep Purple from 1992 to 1993. [Joe Lynn Turner] He has also released several solo albums, including ""Journey Through Life"" in 1995 and ""Walking Under Water"" in 2004.",3,SUPPORTS,"Godhead (band), Joe Lynn Turner, Marilyn Manson",-4.276556968688965
"[Loksatta] ""Loksatta"" is published out of Mumbai, Pune, Nagpur, Ahmednagar, Aurangabad, and Delhi. [Aurangabad, Maharashtra] The administrative headquarters of the Aurangabad Division or Marathwada region, Aurangabad is titled ""The City of Gates"" and the strong presence of these can be felt as one drives through the city.The City was founded in 1610 by Malik Amber which in the year 2010 completed 400 years. [Ravi Amale] Ravi Amale is the senior editor of the Loksatta newspaper, the leading Marathi daily in Mumbai.","📰 [Aurangabad] Aurangabad is a city in the Indian state of Maharashtra. [Marathi Daily Newspaper] Marathi is a language spoken in India, primarily in the state of Maharashtra. [Ravi Amale] Ravi Amale is the senior editor of the Marathi daily newspaper, Navabhartatha.",3,SUPPORTS,"Aurangabad, Maharashtra, Ravi Amale, Loksatta",-3.1687135696411133
"[Dan Bejar] Daniel Bejar ( ; born October 4, 1972) is an independent singer-songwriter from Vancouver, British Columbia, Canada. [Makoto Koshinaka] Makoto Koshinaka (越中睦 / 越中睦士 or Makoto, born July 15, 1980 in Moto Azabu, Tokyo) is a Japanese singer, songwriter, actor and model, activating both in Japan and in Thailand, starting with the year 1999. [Hello, Blue Roses] Hello, Blue Roses is a Canadian musical collaboration involving Dan Bejar (of Destroyer and The New Pornographers) and his girlfriend, Sydney Hermant, a visual artist from Vancouver.","[Makoto Koshinaka] Makoto Koshinaka (born July 15, 1980) is a Japanese musician and songwriter, best known as the lead vocalist and guitarist of the rock band, Hello! Project. [Hello, Blue Roses] Hello! Blue Roses is a fictional rock band from the anime series, Lucky Star. The band consists of four members, including the lead vocalist and guitarist, Makoto Koshinaka, who is a character in the series.",3,SUPPORTS,"Dan Bejar, Hello, Blue Roses, Makoto Koshinaka",-2.860088586807251
"[Wang Xiaoshuai] Wang Xiaoshuai (; born May 22, 1966) is a Chinese film director, screenwriter and occasional actor. [Justin Reardon] Justin Reardon is a film writer, director, producer and editor. [Red Amnesia] Red Amnesia () is a 2014 Chinese thriller film directed by Wang Xiaoshuai.","🔎 Red Amnesia (2014) - IMDb 🔎 Red Amnesia (2014) - Netflix 🔎 Red Amnesia (2014) - Letterboxd 🔎 Red Amnesia (2014) - The Movie Database (TMDb) 🔎 Justin Reardon - IMDb 🔎 Justin Reardon - Letterboxd 🔎 Justin Reardon - The Movie Database (TMDb) CLAIM: The director of Red Amnesia and Justin Reardon were not both film producers. EVIDENCE: 🔎 Red Amnesia (2014) - IMDb 🔎 Red Amnesia (2014) - Netflix 🔎 Red Amnesia (2014) - Letterboxd 🔎 Red Amnesia (2014) - The Movie Database (TMDb) 🔎 Justin Reardon - IMDb 🔎 Justin Reardon - Letterboxd 🔎 Justin Reardon - The Movie Database (TMDb) The director of Red Amnesia is Justin Reardon, who is also a film producer. Therefore, the claim is false.",3,SUPPORTS,"Wang Xiaoshuai, Justin Reardon, Red Amnesia",-10.769179344177246
"[Kristian Zahrtmann] Peder Henrik Kristian Zahrtmann, known as Kristian Zahrtmann, (31 March 1843 – 22 June 1917) was a Danish painter. [Kristian Zahrtmann] He was a part of the Danish artistic generation in the late 19th century, along with Peder Severin Krøyer and Theodor Esbern Philipsen, who broke away from both the strictures of traditional Academicism and the heritage of the Golden Age of Danish Painting, in favor of naturalism and realism. [Peder Severin Krøyer] He is one of the best known and beloved, and the most colorful of the Skagen Painters, a community of Danish and Nordic artists who lived, gathered, or worked in Skagen, Denmark, especially during the final decades of the 19th century. [Ossian Elgström] Elgström studied at the Royal Swedish Academy of Arts from 1906 to 1907, and then with Kristian Zahrtmann in 1907 and with Christian Krohg in 1908.","1. [Peder Severin Krøyer] Peder Severin Krøyer (1890-1970) was a Danish painter who was known for his work in the Naturalist movement. He was a key figure in the Skagen Art Colony, along with Theodor Esbern Philipsen and the artist Ossian Elgström. Krøyer was known for his vivid and detailed depictions of everyday life in Denmark, often focusing on scenes of fishermen, farmers, and other working-class people. [Theodor Esbern Philipsen] Theodor Esbern Philipsen (1890-1964) was a Danish painter and printmaker who was associated with the Naturalist movement. He was a prominent figure in the Skagen Art Colony and was known for his landscapes, still lifes, and portraits. Philipsen was also a mentor to the artist Ossian Elgström. [Ossian Elgström] Ossian Elgström (1893-1969) was a Swedish painter and printmaker who was associated with the Naturalist movement. He was a key figure in the Skagen Art Colony and was known for his landscapes, still lifes, and portraits. Elgström was a student of Peder Severin Krøyer and Theodor Esbern Philipsen, and he was heavily influenced by their work.",3,SUPPORTS,"Ossian Elgström, Kristian Zahrtmann, Peder Severin Krøyer",-4.674962043762207
"[Hecuba (band)] They performed at the Los Angeles premier of ""Wild Combination"": a film about Arthur Russell (musician) performing their versions of Russell's music. [Arthur Russell (musician)] Arthur Russell (born Charles Arthur Russell, Jr.; May 21, 1951 – April 4, 1992) was an American cellist, composer, producer, singer, and musician whose work spanned a disparate range of styles. [Psycho Killer] In the liner notes for """" (1992), Jerry Harrison wrote of the b-side of the single, an acoustic version of the song that featured Arthur Russell on cello, ""I'm glad we persuaded Tony [Bongiovi] and Lance [Quinn] that the version with the cellos shouldn't be the only one.""","[Wild Combination] ""Wild Combination"" is a 1998 American musical drama film directed by Simon Reynolds and starring Rose McGowan, Jaycee Chan, and Blixter Burke. [Rose McGowan] Rose McGee is an American actress, singer, and model. [Jaycee Chan] Jaycee Chan is a Singaporean-American actor, singer, and musician. [Blixter Burke] Blixter Burke is an American musician, singer, and songwriter.",3,SUPPORTS,"Bongiovi, Psycho Killer, Hecuba (band), Arthur Russell (musician), Quinn",-3.6926958560943604
"[Peter Duffell] Peter Duffell (born 1937) is a British film and television director and screenwriter, born in Canterbury, England. [Ken Hughes] Kenneth Graham ""Ken"" Hughes (19 January 1922 – 28 April 2001) was a British film director, writer and producer, who is best known as the co-writer and director of the 1968 children's film ""Chitty Chitty Bang Bang"". [Inside Out (1975 film)] Inside Out is a 1975 British action thriller film, produced and directed by Peter Duffell, and starring James Mason, Robert Culp, and Telly Savalas.","Ken Hughes was born on September 24, 1922, in Windsor, Ontario, Canada. [Kenneth Graham Hughes] Pete Docter directed the film Inside Out, which was released in 2015. [Pete Docter] Pete Docter is an American animator, film director, and producer. He is best known for being the director of Inside Out (2015), Monsters, Inc. (2001), and Up (2009). [Pete Docter]",3,SUPPORTS,"Inside Out (1975 film), Ken Hughes, Peter Duffell",-4.678416728973389
"[Steve Denton] Steve Denton (born September 5, 1956, in Kingsville, Texas) is a former professional tennis player for the ATP Tour. [Albert Costa] Costa began playing tennis at the age of five. [1982 Australian Open – Men's Singles] Johan Kriek was the defending champion, and successfully defended his title, defeating Steve Denton 6–3, 6–3, 6–2 in the final to win the Men's Singles title at the 1982 Australian Open, what was the rematch of the previous year.","1982 Australian Open – Men's Singles: M. C. Evert (USA) defeated J. Kriek (South Africa) 6-1, 6-4, 6-2. [Johan Kriek] Johan Kriek is a South African former professional tennis player. [Albert Costa] Albert Costa is a former professional tennis player from Spain. Costa was born in 1971 in Barcelona, Spain. He began playing tennis at the age of five and turned professional in 1988.",3,SUPPORTS,"Steve Denton, 1982 Australian Open – Men's Singles, Albert Costa",-2.9116222858428955
"[Ghostkeeper] The film's plot is inspired by the Windigo legend of North America. [Wendigo] The legend lends its name to the controversial modern medical term Wendigo psychosis, described by psychiatrists as a culture-bound syndrome with symptoms such as an intense craving for human flesh and a fear of becoming a cannibal. [Georgie Collins] Collins is known for her role in the 1981 cult horror film ""Ghostkeeper"", as well as her part in ""Lonesome Dove: The Series"" (1995).","1. [Georgie Collins] Georgie Collins is a British actress known for her roles in the cult horror film, The Devil's Disciple (1976), and the TV series, The Tomorrow People (1973). 2. [The Devil's Disciple] The Devil's Disciple is a 1976 British horror film directed by John Hough, and starring George Hilton, Michael Craig, and Georgie Collins. 3. [The Tomorrow People] The Tomorrow People is a 1973 British science fiction television series created by David Goodall and produced by Gerry and Sylvia Anderson.",3,SUPPORTS,"Georgie Collins, Wendigo, Ghostkeeper",-5.2230095863342285
"[Gordon Waller] Gordon Trueman Riviere Waller (4 June 1945 – 17 July 2009) was a British singer–songwriter–guitarist, best known as Gordon of the 1960s pop music duo Peter and Gordon, whose biggest hit was the No. 1 million-selling classic ""A World Without Love"". [A World Without Love] The song was written by Paul McCartney and attributed to Lennon–McCartney. [Del Davis (singer)] His cover of ""World Without Love"" was featured on ""Mellow Dubmarine"".","Paul McCartney wrote Peter and Gordon's biggest hit, ""A World Without Love"". [Paul McCartney] Paul McCartney is a British musician, singer-songwriter and composer who played a significant role in the development of popular music in the 1960s and 1970s. [Peter and Gordon] Peter and Gordon were a British pop duo that achieved success in the mid-1960s. [A World Without Love] ""A World Without Love"" is a song written by Barry Gibb, Robin Gibb, and Maurice Gibb of the Bee Gees, and was released in 1967 on the album ""SpongeBob SquarePants: Original Soundtrack Album"". [Del Davis] Del Davis was an American musician and producer who worked with many artists, including Paul McCartney, on various projects. [Mellow Dubmarine] ""Mellow Dubmarine"" is a fictional album, and there is no such album as ""Mellow Dubmarine"" by Del Davis or any other artist.",3,SUPPORTS,"Del Davis (singer), Gordon Waller, A World Without Love",-8.872276306152344
